size,volume fraction
$\mu m$,-
2.5036971855949033,8.191190369117396e-05
7.511091556784709,0.0017076279126193154
12.518485927974517,0.006104104437524488
17.52588029916432,0.012932679773796935
22.533274670354132,0.021222883691158014
27.540669041543936,0.029918332381761118
32.54806341273374,0.03813044254369952
37.55545778392355,0.0452270256717163
42.562852155113355,0.05083390536801335
47.570246526303166,0.05479614123926356
52.57764089749297,0.057125434890521215
57.58503526868277,0.057947887026495254
62.59242963987258,0.0574588043112928
67.5998240110624,0.05588693757705484
72.6072183822522,0.05346818907429291
77.614612753442,0.050427684210204764
82.6220071246318,0.046968665855252174
87.62940149582161,0.043266622978537554
92.63679586701141,0.03946721667353723
97.64419023820123,0.035686800283990426
102.65158460939104,0.03201458091258584
107.65897898058084,0.02851570276778065
112.66637335177064,0.025234733081604805
117.67376772296045,0.02219919414825487
122.68116209415027,0.01942291176710063
127.68855646534007,0.01690904527842946
132.69595083652987,0.014652732768290894
137.70334520771968,0.012643332239749231
142.7107395789095,0.010866270464185618
147.7181339500993,0.00930452998982918
152.72552832128912,0.00793981478685796
157.7329226924789,0.006753438924158712
162.74031706366873,0.0057269825489395
167.7477114348585,0.004842756798691502
172.75510580604833,0.004084115214301644
177.7625001772381,0.003435644511279466
182.76989454842794,0.0028832627188080735
187.77728891961775,0.0024142480421229396
192.78468329080755,0.0020172175355435396
197.79207766199738,0.0016820708890955029
202.79947203318716,0.001399911364212855
207.806866404377,0.001162953154746654
212.81426077556677,0.0009644221642486813
217.8216551467566,0.0007984553312817151
222.82904951794637,0.0006600021475514343
227.8364438891362,0.0005447308446144481
232.84383826032598,0.00044894082214932924
237.8512326315158,0.000369482207204836
242.85862700270562,0.0003036829278392937
247.86602137389542,0.0002492833202148602
252.87341574508525,0.0002043780351191831
257.88081011627503,0.0001673648427840813
262.8882044874648,0.00013689983306716544
267.8955988586547,0.00011185845486391518
272.90299322984447,9.130182074278149e-05
277.91038760103424,7.444770982551759e-05
282.9177819722241,6.064572581575205e-05
287.9251763434139,4.9356101684361994e-05
