size,size
$\mu m$,$1/\mu m^4$
0.0,1.1683326907321448e-09
1.0,1.148502902215105e-09
2.0,1.1290096792292271e-09
3.0,1.1098473093405806e-09
4.0,1.0910101770708005e-09
5.0,1.0724927622514865e-09
6.0,1.0542896384065347e-09
7.0,1.036395471161923e-09
8.0,1.0188050166824884e-09
9.0,1.0015131201352362e-09
10.0,9.845147141787296e-10
10.0,9.845147141787296e-10
11.0,9.678048174781208e-10
12.0,9.513785332453848e-10
13.0,9.352310478043283e-10
14.0,9.193576291799567e-10
15.0,9.037536257117823e-10
16.0,8.884144646906675e-10
17.0,8.733356510188053e-10
18.0,8.585127658924447e-10
19.0,8.439414655069715e-10
20.0,8.296174797839693e-10
21.0,8.155366111198847e-10
22.0,8.01694733155932e-10
23.0,7.880877895688748e-10
24.0,7.747117928823325e-10
25.0,7.615628232982607e-10
26.0,7.486370275482669e-10
27.0,7.359306177644196e-10
28.0,7.234398703692251e-10
29.0,7.111611249844436e-10
30.0,6.990907833584257e-10
31.0,6.872253083116544e-10
32.0,6.755612227001853e-10
33.0,6.640951083966792e-10
34.0,6.528236052887291e-10
35.0,6.417434102941898e-10
36.0,6.308512763932173e-10
37.0,6.201440116767411e-10
38.0,6.096184784110815e-10
39.0,5.992715921184485e-10
40.0,5.891003206730421e-10
41.0,5.791016834124974e-10
42.0,5.692727502644097e-10
43.0,5.596106408876851e-10
44.0,5.501125238284645e-10
45.0,5.407756156903744e-10
46.0,5.315971803188602e-10
47.0,5.225745279993638e-10
48.0,5.137050146691107e-10
49.0,5.049860411422739e-10
50.0,4.964150523482915e-10
51.0,4.879895365831088e-10
52.0,4.797070247731316e-10
53.0,4.715650897516708e-10
54.0,4.635613455476678e-10
55.0,4.5569344668649295e-10
56.0,4.4795908750261057e-10
57.0,4.403560014639099e-10
58.0,4.3288196050750514e-10
59.0,4.2553477438680667e-10
60.0,4.183122900296765e-10
61.0,4.112123909074761e-10
62.0,4.0423299641482374e-10
63.0,3.9737206125987897e-10
64.0,3.906275748649757e-10
65.0,3.8399756077742793e-10
66.0,3.7748007609033613e-10
67.0,3.7107321087322337e-10
68.0,3.647750876123361e-10
69.0,3.585838606604441e-10
70.0,3.524977156959781e-10
71.0,3.465148691913489e-10
72.0,3.4063356789028854e-10
73.0,3.3485208829406473e-10
74.0,3.291687361564134e-10
75.0,3.23581845987045e-10
76.0,3.1808978056357773e-10
77.0,3.1269093045175326e-10
78.0,3.073837135337972e-10
79.0,3.021665745447839e-10
80.0,2.9703798461686985e-10
81.0,2.9199644083126444e-10
82.0,2.8704046577780266e-10
83.0,2.8216860712199497e-10
84.0,2.773794371794245e-10
85.0,2.726715524973681e-10
86.0,2.680435734435188e-10
87.0,2.6349414380168805e-10
88.0,2.5902193037437074e-10
89.0,2.546256225920553e-10
90.0,2.50303932129165e-10
91.0,2.460555925265177e-10
92.0,2.418793588201937e-10
93.0,2.377740071767025e-10
94.0,2.337383345343419e-10
95.0,2.2977115825064434e-10
96.0,2.258713157558064e-10
97.0,2.2203766421200134e-10
98.0,2.1826908017847373e-10
99.0,2.145644592823181e-10
100.0,2.1092271589484585e-10
100.0,2.1092271589484585e-10
101.00032154387772,2.0734164153546024e-10
102.00064308775544,2.0382136714023712e-10
103.00096463163315,2.0036086043917273e-10
104.00128617551087,1.969591066882829e-10
105.00160771938859,1.9361510837204407e-10
106.0019292632663,1.9032788491088563e-10
107.00225080714402,1.8709647237364967e-10
108.00257235102174,1.8391992319493153e-10
109.00289389489946,1.8079730589722e-10
110.00321543877718,1.7772770481775492e-10
111.0035369826549,1.747102198400221e-10
112.00385852653261,1.7174396612980704e-10
113.00418007041033,1.6882807387573016e-10
114.00450161428805,1.6596168803418697e-10
115.00482315816575,1.631439680786186e-10
116.00514470204348,1.6037408775303987e-10
117.00546624592118,1.5765123482975123e-10
118.00578778979892,1.549746108711646e-10
119.00610933367662,1.523434309956734e-10
120.00643087755435,1.4975692364749653e-10
121.00675242143205,1.472143303704316e-10
122.00707396530977,1.4471490558544777e-10
123.00739550918749,1.4225791637205596e-10
124.0077170530652,1.398426422533898e-10
125.00803859694292,1.3746837498493688e-10
126.00836014082064,1.351344183468553e-10
127.00868168469836,1.328400879398181e-10
128.0090032285761,1.305847109843223e-10
129.0093247724538,1.2836762612340643e-10
130.0096463163315,1.2618818322871652e-10
131.00996786020923,1.2404574320986578e-10
