size,number fraction
$\mu m$,-
0.5001424189778017,0.01697267962229635
1.500427256933405,0.01668452635084687
2.5007120948890083,0.01640126519444277
3.5009969328446116,0.016122813097328267
4.501281770800215,0.0158490884138244
5.501566608755818,0.015580010884389475
6.501851446711422,0.015315501612085988
7.502136284667024,0.015055483039447029
8.502421122622629,0.014799878925735475
9.502705960578233,0.014548614324589232
10.502990798533833,0.014301615562046021
11.503275636489438,0.014058810214941281
12.503560474445042,0.013820127089672724
13.503845312400646,0.01358549620132553
14.504130150356247,0.01335484875315187
15.50441498831185,0.013128117116398833
16.504699826267455,0.012905234810478824
17.50498466422306,0.012686136483476633
18.505269502178663,0.01247075789298742
19.505554340134264,0.012259035887280032
20.505839178089868,0.012050908386780128
21.50612401604547,0.011846314365867666
22.506408854001073,0.01164519383498343
23.506693691956677,0.01144748782303932
24.50697852991228,0.011253138360127304
25.507263367867886,0.0110620884605219
26.50754820582349,0.010874282105971253
27.50783304377909,0.010689664229271874
28.508117881734695,0.010508180698122243
29.508402719690295,0.01032977829925054
30.5086875576459,0.010154404722811846
31.508972395601504,0.009982008547050227
32.50925723355711,0.009812539223221242
33.50954207151271,0.009645947060770405
34.509826909468316,0.0094821832127633
35.51011174742392,0.00932119966156303
36.510396585379524,0.009162949204750854
37.51068142333512,0.009007385441285832
38.510966261290726,0.008854462757899475
39.51125109924633,0.008704136315721337
40.511535937201934,0.008556362037131709
41.51182077515754,0.008411096592837505
42.51210561311314,0.008268297389167558
43.51239045106874,0.008127922555583629
44.512675289024344,0.007989930932403433
45.51296012697995,0.007854282058732103
46.51324496493555,0.00772093616059855
47.513529802891156,0.007589854139293228
48.51381464084676,0.007460997559903897
49.514099478802365,0.00733432864004603
50.51438431675797,0.007209810238784543
51.51466915471357,0.007087405845743599
52.51495399266918,0.006967079570401305
53.515238830624774,0.0068487961315661615
54.51552366858038,0.006732520847032174
55.51580850653598,0.006618219623409594
56.51609334449159,0.0065058589461283005
57.51637818244719,0.0063954058696109135
58.516663020402795,0.00628682800761273
59.51694785835839,0.006180093523725674
60.517232696314,0.006075171122043453
61.5175175342696,0.00597203003798521
62.517802372225205,0.00587064002927496
63.51808721018081,0.005770971367074168
64.51837204813641,0.005672994827264886
65.51865688609202,0.005576681681880868
66.51894172404762,0.005482003690684168
67.51922656200323,0.005388933092884751
68.51951139995883,0.005297442599000673
69.51979623791443,0.005207505382856466
70.52008107587004,0.005119095073717361
71.52036591382564,0.005032185748557055
72.52065075178123,0.004946751924456759
73.52093558973684,0.00486276855113328
74.52122042769244,0.004780211003593957
75.52150526564805,0.004699055074916317
76.52179010360365,0.004619276969150284
77.52207494155925,0.004540853294340915
78.52235977951486,0.0044637610556695845
79.52264461747046,0.004387977648711604
80.52292945542607,0.004313480852808329
81.52321429338167,0.004240248824551783
82.52349913133727,0.004168260091379883
83.52378396929288,0.004097493545280422
84.52406880724848,0.0040279284366019335
85.52435364520409,0.003959544367969624
86.52463848315969,0.0038923212883046174
87.5249233211153,0.0038262394869447154
88.52520815907089,0.0037612795878649834
89.52549299702649,0.003697422543996462
90.5257778349821,0.0036346496316413193
91.5260626729377,0.003572942444982828
92.5263475108933,0.003512282890688546
93.5266323488489,0.0034526531826051285
94.52691718680451,0.0033940358365431972
95.52720202476011,0.003336413665150756
96.52748686271572,0.0032797697728736436
97.52777170067132,0.0032240875510015444
98.52805653862693,0.0031693506727981002
99.52834137658253,0.003115543090763746
100.52862621453814,0.003062648958646699
101.52891105249374,0.003010652767496183
102.52919589044934,0.002959539342841973
103.52948072840495,0.0029092936974961852
104.52976556636054,0.0028599010987162546
105.53005040431614,0.0028113470638850774
106.53033524227175,0.002763617356264506
107.53062008022735,0.0027166979808209337
108.53090491818296,0.0026705751801217484
109.53118975613856,0.0026252354303014547
110.53147459409416,0.0025806654370962873
111.53175943204977,0.0025368521319461385
112.53204427000537,0.0024937826681626723
113.53232910796098,0.0024514444171624896
114.53261394591658,0.002409824964764247
115.53289878387218,0.0023689121075486435
116.53318362182779,0.0023286938492801997
117.53346845978339,0.0022891583973897916
118.533753297739,0.0022502941595169013
119.5340381356946,0.002212089740110569
120.53432297365019,0.0021745339370880554
121.5346078116058,0.002137615738550229
122.5348926495614,0.0021013243195527258
123.535177487517,0.0020656490389319125
124.53546232547261,0.00203057943618475
125.53574716342821,0.001996105228401621
126.53603200138382,0.0019622163072512363
127.53631683933942,0.0019289027360167284
128.53660167729504,0.0018961547466820607
129.53688651525061,0.0018639627370679057
130.53717135320625,0.0018323172680161503
131.53745619116182,0.0018012090606221985
132.53774102911746,0.0017706289935142637
133.53802586707303,0.0017405681001788531
134.53831070502866,0.0017110175663316558
135.53859554298424,0.0016819687273330701
136.53888038093987,0.001653413065647606
137.53916521889545,0.0016253422083464216
138.53945005685108,0.0015977479246522615
139.53973489480666,0.0015706221235260744
140.5400197327623,0.0015439568512946064
141.54030457071786,0.0015177442893182674
142.5405894086735,0.001491976751698595
143.54087424662907,0.00146664668302464
144.54115908458468,0.0014417466561576111
145.54144392254028,0.0014172693700531306
146.54172876049586,0.0013932076476204653
147.5420135984515,0.0013695544336181
148.54229843640707,0.001346302792585039
149.5425832743627,0.0013234459068072314
150.54286811231827,0.0013009770743185184
151.5431529502739,0.0012788897069355202
152.54343778822948,0.0012571773283258881
153.54372262618512,0.0012358335721093501
154.5440074641407,0.001214852179990997
155.54429230209632,0.0011942269999262616
156.5445771400519,0.0011739519843170507
157.54486197800753,0.0011540211882385017
158.5451468159631,0.0011344287676958468
159.54543165391874,0.0011151689779108696
